Ticker,TradingDate,Close,Highest,Lowest,Open,Total Trading Value (billion VND),Total Trading Volume (shares)
VNINDEX,1/5/2004,169.16,169.16,167.69,167.69,3.78,"200,210"
VNINDEX,1/6/2004,170.26,170.78,170.26,170.78,3.83,"206,380"
VNINDEX,1/7/2004,171.17,171.17,170.84,170.84,2.03,"107,740"
VNINDEX,1/8/2004,171.60,171.79,171.6,171.79,3.82,"211,360"
VNINDEX,1/9/2004,173.27,173.27,171.44,171.44,2.09,"121,590"
VNINDEX,1/12/2004,174.13,174.13,173.46,173.46,2.71,"145,050"
VNINDEX,1/13/2004,175.17,175.17,174.65,174.65,4.21,"194,850"
VNINDEX,1/14/2004,176.35,178.72,176.35,178.72,3.98,"201,610"
VNINDEX,1/15/2004,177.59,177.59,176.16,176.16,5.6,"286,980"
VNINDEX,1/16/2004,183.18,183.18,180.23,180.23,6.01,"298,050"
VNINDEX,1/27/2004,191.87,191.87,190.88,190.88,1.88,"85,660"
VNINDEX,1/28/2004,200.80,200.8,200.73,200.73,2,"72,410"
VNINDEX,1/29/2004,210.46,210.46,210.46,210.46,7.5,"243,050"
VNINDEX,1/30/2004,214.32,217.7,214.32,217.7,30.34,"1,206,280"
VNINDEX,2/2/2004,207.14,214.32,207.14,213.26,15.86,"701,160"
VNINDEX,2/3/2004,199.56,207.14,199.56,200.69,17.57,"780,230"
VNINDEX,2/4/2004,208.26,208.26,200.03,200.03,8.92,"368,770"
VNINDEX,2/5/2004,215.33,217.85,215.33,217.85,18.43,"740,070"
VNINDEX,2/6/2004,213.42,215.35,213.42,215.35,7.03,"286,220"
VNINDEX,2/9/2004,212.55,213.42,212.55,212.55,6.72,"292,040"
VNINDEX,2/10/2004,213.00,213,212.49,212.49,7.57,"306,700"
VNINDEX,2/11/2004,212.81,213,212.81,212.81,8.82,"371,880"
VNINDEX,2/12/2004,213.76,213.76,212.99,212.99,7.99,"338,660"
VNINDEX,2/13/2004,217.10,217.1,215.85,215.85,12.62,"530,210"
VNINDEX,2/16/2004,218.22,219.54,218.22,219.54,10.34,"418,300"
VNINDEX,2/17/2004,219.06,219.06,214.2,214.2,12.5,"516,720"
VNINDEX,2/18/2004,221.99,221.99,221.99,221.99,11.41,"446,790"
VNINDEX,2/19/2004,227.67,227.67,227.67,227.67,18.18,"689,740"
VNINDEX,2/20/2004,235.30,235.3,233.83,233.83,20.64,"716,680"
VNINDEX,2/23/2004,246.35,246.35,244.35,244.35,9.71,"302,870"
VNINDEX,2/24/2004,255.00,256.37,255,256.37,20.67,"642,470"
VNINDEX,2/25/2004,255.11,262.04,255.11,262.04,36.13,"1,168,650"
VNINDEX,2/26/2004,250.64,255.11,250.64,252.53,26.46,"880,460"
VNINDEX,2/27/2004,260.60,260.6,250.17,250.17,28.69,"862,670"
VNINDEX,3/1/2004,271.45,274.45,271.45,274.45,28.67,"841,410"
VNINDEX,3/2/2004,273.43,275.84,273.43,275.84,32.83,"950,930"
VNINDEX,3/3/2004,269.86,273.43,269.78,269.78,31.24,"931,040"
VNINDEX,3/4/2004,265.03,269.86,265.03,268.24,21.94,"682,310"
VNINDEX,3/5/2004,267.53,267.53,264.18,264.18,22.86,"677,480"
VNINDEX,3/8/2004,264.81,267.53,264.81,266.21,17.86,"524,970"
VNINDEX,3/9/2004,256.32,264.81,256.32,259.29,23.68,"731,360"
VNINDEX,3/10/2004,255.47,256.32,247.79,247.79,40.36,"1,285,750"
VNINDEX,3/11/2004,261.22,261.22,258.62,258.62,20.83,"625,750"
VNINDEX,3/12/2004,262.88,263.13,262.88,263.13,16.27,"495,490"
VNINDEX,3/15/2004,264.51,264.51,262.42,262.42,14.83,"457,800"
VNINDEX,3/16/2004,263.10,264.51,263.1,263.58,12.92,"384,970"
VNINDEX,3/17/2004,260.71,264.02,260.71,264.02,11.93,"375,220"
VNINDEX,3/18/2004,261.54,261.54,258.79,258.79,14.22,"478,790"
VNINDEX,3/19/2004,261.91,261.91,261.79,261.79,12.16,"355,570"
VNINDEX,3/22/2004,261.47,263.31,261.47,263.31,10.54,"338,850"
VNINDEX,3/23/2004,257.41,261.47,257.41,259.22,19.26,"652,760"
VNINDEX,3/24/2004,257.33,257.41,255.8,255.8,21,"672,340"
VNINDEX,3/25/2004,264.91,264.91,259.23,259.23,19.13,"564,240"
VNINDEX,3/26/2004,272.30,272.3,269.61,269.61,20.39,"596,840"
VNINDEX,3/29/2004,275.66,278.25,275.66,278.25,14,"410,940"
VNINDEX,3/30/2004,273.28,275.66,273.28,274.42,17.46,"491,880"
VNINDEX,3/31/2004,277.44,277.44,272.92,272.92,18.49,"500,620"
VNINDEX,4/1/2004,279.71,280.53,279.71,280.53,13.09,"348,920"
VNINDEX,4/2/2004,272.89,279.71,272.89,274.66,7.99,"242,880"
VNINDEX,4/5/2004,270.69,272.89,270.63,270.63,9.79,"333,610"
VNINDEX,4/6/2004,271.30,271.43,271.3,271.43,5.13,"178,120"
VNINDEX,4/7/2004,269.47,272.03,269.47,272.03,4.82,"154,130"
VNINDEX,4/8/2004,262.47,269.47,262.47,267.26,9.36,"302,720"
VNINDEX,4/9/2004,259.65,263.4,259.65,263.4,6.69,"225,740"
VNINDEX,4/12/2004,254.41,259.65,254.41,258.52,9.08,"283,660"
VNINDEX,4/13/2004,250.52,254.41,250.52,250.52,8.66,"295,320"
VNINDEX,4/14/2004,251.24,251.24,250.45,250.45,6.91,"248,680"
VNINDEX,4/15/2004,256.05,256.05,253.47,253.47,9.1,"295,390"
VNINDEX,4/16/2004,259.43,259.67,259.43,259.67,5.99,"191,290"
VNINDEX,4/19/2004,255.38,259.43,255.38,258.62,5.72,"189,980"
VNINDEX,4/20/2004,254.82,255.38,252.78,252.78,8.35,"252,690"
VNINDEX,4/21/2004,256.40,257.85,256.4,257.85,3.54,"115,530"
VNINDEX,4/22/2004,258.39,258.89,258.39,258.89,5.58,"175,380"
